,contentid,contenttypeid,title,overview,firstimage,addr1,mapx,mapy,tags,tokens,contenttypeid_tag
10,1365458,76,Alpensia Ocean 700 (알펜시아 오션700),"Alpensia Resort is a beautiful and exciting resort that offers unique programs unavailable at other resorts. Among their facilities, Alpensia  Ocean 700 suits as the perfect family water park, located on the refreshing highland of Daegwallyeong at an altitude of 700 meters. The water park aims to provide convenient and relaxing facilities in an indoor area where visitors can have fun at any time of the year.",http://tong.visitkorea.or.kr/cms/resource/07/904407_image2_1.jpg,"325, Solbong-ro, Pyeongchang-gun, Gangwon-do",128.6907658364,37.6612362616,alpensia resort beautiful exciting resort unique programs unavailable resorts among facilities alpensia ocean suits perfect family water park refreshing highland daegwallyeong altitude water park aims provide convenient relaxing facilities indoor visitors fun time year,"['nature', 'alpensia', 'resort', 'suits', 'unavailable', 'facilities']",nature
11,1351776,76,Alpensia Resort (알펜시아 리조트),"Alpensia Resort, located approx. 184 kilometers from Seoul in Daegwallyeong, Pyeongchang-gun, Gangwon-do, is a tourism & leisure complex open year round. The resort allows visitors to enjoy the area’s pristine natural beauty throughout each of the four seasons. The name ""Alpensia"" is a combination of the words ""Alpen,"" (German for the Alps), ""Asia,"" and ""Fantasia;"" together they reflect the resort’s scenic view of the ""fantastic Alps of Asia."" The complex boasts a variety of super deluxe luxury accommodations and top-notch leisure facilities such as a 45-hole golf course, convention center, water park and ski slopes. The resort successfully hosted the IBU Biathlon World Cup Pyeongchang in 2008 and boasts excellent ski jump and biathlon facilities, a monorail, cross-country ski slopes, and a large stadium.  After a hard day out on the slopes or golf course, visitors can head to the sky lounge, ecology learning center, or Retail Village shopping mall. The resort is also adjacent to many other tourist attractions such as Odaesan Mountain, Samyang Sheep Ranch, Korea Botanic Garden, Lee Hyo-Seok Memorial Hall, and Herbnara Farm.",,"325, Solbong-ro, Pyeongchang-gun, Gangwon-do",128.6730480942,37.6577640991,alpensia resort approx kilometers seoul daegwallyeong pyeongchanggun gangwondo tourism leisure complex open year round resort allows visitors areas pristine natural beauty throughout four seasons alpensia combination words alpen german alps asia fantasia together reflect resorts scenic view fantastic alps asia complex boasts variety super deluxe luxury accommodations topnotch leisure facilities hole golf course convention center water park ski slopes resort successfully hosted ibu biathlon world cup pyeongchang boasts excellent ski jump biathlon facilities monorail crosscountry ski slopes large stadium hard day slopes golf course visitors head sky lounge ecology learning center retail village shopping mall resort adjacent tourist attractions odaesan mountain samyang sheep ranch botanic garden lee hyoseok memorial hall herbnara farm,"['nature', 'resort', 'biathlon', 'alps', 'slopes', 'ski']",nature
12,1133074,75,Alpensia Ski Resort (알펜시아리조트 스키장),"Alpensia Ski Resort has six slopes for skiers and snowboarders to enjoy. Runs as long as 1.4km provide a dynamic experience for both beginners and experienced skiers and snowboarders. There is also an area exclusively for advanaced snowboarders to practice their skills.  Alpensia is not just for winter enthusiasts; the year-round resort transforms the lower, Apron Area, of the mountain into a 100,000㎡ wild flower garden during summer months.",http://tong.visitkorea.or.kr/cms/resource/99/1985699_image2_1.jpg,"325, Solbong-ro, Daegwallyeong-myeon, Pyeongchang-gun, Gangwon-do",128.6743702048,37.6575030436,alpensia ski resort six slopes skiers snowboarders runs long km provide dynamic experience beginners experienced skiers snowboarders exclusively advanaced snowboarders practice skills alpensia winter enthusiasts yearround resort transforms lower apron mountain wild flower garden summer months,"['activity', 'snowboarders', 'skiers', 'alpensia', 'resort', 'apron']",activity
13,2494805,76,Anheung Jjinppang Village (안흥찐빵마을),"Anheung Jjinppang Village is located along National Highway 42, connecting Seoul and Gangneung. Travelers passing Daegwallyeong on their way to Seoul from the Yeongdong area often stopped here to have a light lunch from old times. Anheung jjinppang (Anheung-style steamed bun) was enough to satisfy their hunger. Over time, Anheung jjinppang has become one of Korea's famous nostalgic snacks.

Jucheongang River, beginning from Taegisan Mountain and flowing through Yeongwol, offers the proper humid condition perfect for the bun's aging process. As of now, there are over 10 shops dedicated to selling steamed buns in the village. Since the early 1990s, over one million people have come to Anheung Jjinppang Village to get these steamed buns which became popular through word-of-mouth. 

Anheung jjinppang is made with high-quality red bean, using the traditional cooking process that creates the homemade flavor, which is immediatedly recognized by the mouth that has become used to instant foods.",http://tong.visitkorea.or.kr/cms/resource/82/1583982_image2_1.jpg,"27, Anheung-ro, Hoengseong-gun, Gangwon-do",128.1560576142,37.4124326159,anheung jjinppang village national highway connecting seoul gangneung travelers passing daegwallyeong seoul yeongdong often stopped light lunch old times anheung jjinppang anheungstyle steamed bun enough satisfy hunger time anheung jjinppang become koreas famous nostalgic snacks jucheongang river beginning taegisan mountain flowing yeongwol proper humid condition perfect buns aging process shops dedicated selling steamed buns village early million people come anheung jjinppang village get steamed buns became popular wordofmouth anheung jjinppang made highquality red bean using traditional cooking process creates homemade flavor immediatedly recognized mouth become used instant foods,"['nature', 'jjinppang', 'anheung', 'buns', 'steamed', 'process']",nature
14,2715510,78,Animation Museum & Toy Robot Studio (춘천 애니메이션박물관&토이로봇관),"Located at the Uiam lakeside, the Animation Museum, which is Korea’s only animation museum, has two floors. On the first floor there is the dimensional exhibition hall introducing the origin, birth, and development of the animation, the kinds of animation, and the Korean animation history, as well as the reproductions of a large robot Taekwon V, and the old comic store. The second floor consists of the world hall displaying the animation trend for each country, diverse animation experience activities, and a special exhibition hall. Visitors can experience making sound effects for an animated film using various tools and dubbing a famous animated film such as Run Honey, and Cloud Bread. The Toy Robot Studio, located next to the Animation Museum, provides various experience programs related to robots. Its interesting robot programs are Spider Robot, Mission Robot, Robot Avatar, Robot Dance, Drone Experience, and so on. Both the Animation Museum and the Toy Robot Studio are equipped with convenient facilities for visitors with the background of Uiamho Lake, such as a cafe and souvenir shop, which sells animation characters and toys. The outdoor space also displays cute animation characters on the lawn where children can play freely.",http://tong.visitkorea.or.kr/cms/resource/20/2672820_image2_1.jpg,"854, Baksa-ro, Chuncheon-si, Gangwon-do",127.6918882316,37.8930876473,uiam lakeside animation museum koreas animation museum floors first floor dimensional exhibition hall introducing origin birth development animation kinds animation korean animation history reproductions large robot taekwon v old comic store second floor consists world hall displaying animation trend country diverse animation experience activities special exhibition hall visitors experience sound effects animated film using tools dubbing famous animated film run honey cloud bread toy robot studio next animation museum experience programs related robots interesting robot programs spider robot mission robot robot avatar robot dance drone experience animation museum toy robot studio equipped convenient facilities visitors background uiamho lake cafe souvenir shop animation characters toys outdoor space displays cute animation characters lawn children play freely,"['culture', 'animation', 'robot', 'museum', 'film', 'experience']",culture
15,1891502,76,Anmok Beach (안목해변),"Anmok Beach spans over 500 meters in length and covers an area of 20,000 square meters. The beach is often packed with families on vacation. Right in front of the beach is Anmokhang Port, where around 23 fishing boats can be moored to unload their catch of seaweed in the spring; flatfish, squid, and octopus in the summer; and sailfin sandfish, and pollack in the fall and winter. The place has also become more popular since the main street along the beach earned the reputation as a ""coffee street.""",,"20-1, Changhae-ro 14beon-gil, Gangneung-si, Gangwon-do",128.9473504054,37.7726505813,anmok beach spans length covers square beach often packed families vacation beach anmokhang port fishing boats moored unload catch seaweed spring flatfish squid octopus summer sailfin sandfish pollack fall winter place become popular main street beach earned reputation coffee street,"['nature', 'beach', 'street', 'sailfin', 'moored', 'sandfish']",nature
16,2694179,82,Anmokhang Mulhoe (안목항물회),"It is a place where you can enjoy various types of sashimi. This restaurant's signature menu is cold raw fish soup. This Korean dishes restaurant is located in Gangneung-si, Gangwon-do.",http://tong.visitkorea.or.kr/cms/resource/87/2684887_image2_1.jpg,"2609, Gyeonggang-ro, Gangneung-si, Gangwon-do",128.9451339191,37.7732754657,place types sashimi restaurants signature menu cold raw fish soup korean dishes restaurant gangneungsi gangwondo,"['food', 'sashimi', 'cold', 'raw', 'types', 'soup']",food
17,1064078,75,Aranaby Zipline (아라나비(스카이 어촌체험)),"As “Ara” means ocean and ""naby"" means butterfly in Korean, Aranaby conveys an image of butterflies flying over the ocean. Aranaby Zipline offers a zipline from18 meter-high tower and flies 300 meters across the ocean. <BR>Popular as an eco-tourism activity in diverse countries from the United States to Australia and European countries, ziplines can be enjoyed year-round by people of various ages. Visitors can be assured of their safety as the company has already applied for two patents related to safety, passed safety tests required by the Korea Transportation Safety Authority, and offers a comprehensive liability insurance package.<BR>There are many attractions nearby including Namhangjin Beach, trekking course, Anmok Coffee Street and more.",,"35-7, Gonghang-gil 127beon-gil, Gangneung-si, Gangwon-do",128.9515529876,37.766754123,ara means ocean naby means butterfly korean aranaby conveys image butterflies flying ocean aranaby zipline zipline meterhigh tower flies across ocean brpopular ecotourism activity diverse countries united states australia european countries ziplines enjoyed yearround people ages visitors assured safety company already applied patents related safety passed safety tests required transportation safety authority comprehensive liability insurance packagebrthere attractions nearby namhangjin beach trekking course anmok coffee street,"['activity', 'safety', 'aranaby', 'zipline', 'countries', 'ocean']",activity
18,2695004,82,Arirang Food (아리랑 푸드),"It is a place where you can eat naengmyeon (Korean cold noodle) and meat together. This Korean dishes restaurant is located in Wonju-si, Gangwon-do. The representative menu is cold buckwheat noodles.",http://tong.visitkorea.or.kr/cms/resource/68/2701368_image2_1.jpg,"153-60, Sinjijeong-ro, Wonju-si, Gangwon-do",127.8800669611,37.3746512734,place eat naengmyeon korean cold noodle meat together korean dishes restaurant wonjusi gangwondo representative menu cold buckwheat noodles,"['food', 'cold', 'naengmyeon', 'meat', 'together', 'noodle']",food
19,2817223,78,ARTE Museum Valley Gangneung (아르떼뮤지엄 강릉),"ARTE Museum Valley Gangneung, located by Gyeongpo Lake, is the third immersive media art exhibition presented by d&rsquo;strict, a digital media design company. There are twelve media art exhibitions centered on the theme &ldquo;Valley&rdquo; to reflect the regional characteristics of Gangwon-do and Gangneung, the center of the Baekdu Mountain Range. The works produced under the theme of &ldquo;Eternal Nature&rdquo; have vibrant visuals, sensual sounds, and elegant fragrance adding to the entire experience.",,"131, Nanseolheon-ro, Gangneung-si, Gangwon-do",128.9079034181,37.79008946,arte museum valley gangneung gyeongpo lake third immersive media art exhibition presented drsquostrict digital media design company twelve media art exhibitions centered theme ldquovalleyrdquo reflect regional characteristics gangwondo gangneung center baekdu mountain range works produced theme ldquoeternal naturerdquo vibrant visuals sensual sounds elegant fragrance adding entire experience,"['culture', 'media', 'theme', 'art', 'gangneung', 'baekdu']",culture
20,2499122,79,ARTSHOP IMAGINE NAMI [Korea Quality] / 이매진나미 [한국관광 품질인증],"Located on Nami Island in Chuncheon-si, Gangwon-do, Imagine Nami is a store specializing in handmade crafts. Talented craftsmen based on Nami Island began producing works, and Imagine Nami became the place for selling their works, including various accessories made of leather and natural stones, glass crafts, fabric products, paintings, and other design works. Most artifacts deal with natural themes and stories about Nami Island. The recent collection features various handicrafts containing the image of Snowman, the representative icon of Nami Island, and artifacts include tea cups, candle holders, memo holders, magnets, ceramics, and other decorative interior items. <br />At the entrance, the store sells snacks made by Nami Island&rsquo;s own brands; the other section displays handicrafts from Nami Island and other handmade artifacts made by external artists, toys, daily goods, and more. The hanok-style store carrying the charm of the island has served as a popular photo zone for visitors. Nami Island is a small island that can be reached via boat, and the boat fare is inclusive of admission to the island. To visit Imagine Nami, visitors are required to enter Nami Island; while there, they can enjoy various cultures and convenience facilities.<o:p></o:p>",http://tong.visitkorea.or.kr/cms/resource/54/2633254_image2_1.jpg,"1, Namiseom-gil, Namsan-myeon, Chuncheon-si, Gangwon-do",127.5261035858,37.7901159965,nami island chuncheonsi gangwondo imagine nami store specializing handmade crafts talented craftsmen based nami island began producing works imagine nami became place selling works accessories made leather natural stones glass crafts fabric products paintings design works artifacts deal natural themes stories nami island recent collection features handicrafts containing image snowman representative icon nami island artifacts tea cups candle holders memo holders magnets ceramics decorative interior items br entrance store snacks made nami islandrsquos brands section displays handicrafts nami island handmade artifacts made external artists toys daily goods hanokstyle store carrying charm island served popular photo zone visitors nami island small island reached via boat boat fare inclusive admission island imagine nami visitors required enter nami island cultures convenience facilitiesopop,"['shopping', 'nami', 'island', 'imagine', 'artifacts', 'works']",shopping
21,2863042,79,Artshop Snowman (스노우맨 아트샵),"The shop has small, artsy Nami snowman and pet-friendly products.",,"1 , Namiseom-gil, Chuncheon-si, Gangwon-do",127.5255090138,37.7963208193,shop small artsy nami snowman petfriendly products,"['shopping', 'artsy', 'snowman', 'petfriendly', 'nami', 'shop']",shopping
22,2855645,82,Asian Family Restaurant Dongmoon (동문),"Asian Family Restaurant Dongmoon specializes in dining for couples and families. Halal food is also available, fulfilling the needs of our Muslim visitors from around the globe.",,"1 , Namiseom-gil, Chuncheon-si, Gangwon-do",127.5255090138,37.7963208193,asian family restaurant dongmoon specializes dining couples families halal food available fulfilling needs muslim visitors globe,"['food', 'globe', 'halal', 'muslim', 'fulfilling', 'dongmoon']",food
23,626418,76,Auraji Lake (아우라지),"Auraji is the name of a lake located in Yeoryang-myeon in Jeongseon-gun. It is here that Jeongseon Arirang, the Intangible Cultural Asset of Gangwon-do, originated. The area has long been famous for its beautiful, clean mountains and rivers. Its name is derived from the Korean word <em>eoureojida,</em> meaning ""to meet"" as the waters of Pyeongchang and Samcheok unite in this area.<br /><br />Part of the upper stream of Namhangang River, Auraji was a famous starting point of log rafts transporting timber to Hanyang, the original name of Seoul. In the old days, one could always hear the singing of boatmen who came from all over the nation. The lyrics of Jeongseon Arirang reveal the sadness and longing of a woman awaiting her husband who left for business to a far-away place or left to transport timber.",http://tong.visitkorea.or.kr/cms/resource/41/2395941_image2_1.jpg,"69, Auraji-gil, Jeongseon-gun, Gangwon-do",128.72398793,37.4758305379,auraji lake yeoryangmyeon jeongseongun jeongseon arirang intangible cultural asset gangwondo originated long famous beautiful clean mountains rivers derived korean word emeoureojidaem meet waters pyeongchang samcheok unite areabr br part upper stream namhangang river auraji famous starting point log rafts transporting timber hanyang original seoul old days could always hear singing boatmen came nation lyrics jeongseon arirang reveal sadness longing woman awaiting husband left business faraway place left transport timber,"['nature', 'timber', 'auraji', 'arirang', 'left', 'jeongseon']",nature
24,2694590,82,Badahoe Myungga Haewon (바다회명가해원),"It is a place with separate rooms for family gatherings and group dining. This Japanese (cuisine) restaurant is located in Wonju-si, Gangwon-do. The most famous menu is sliced raw fish.",http://tong.visitkorea.or.kr/cms/resource/02/2701302_image2_1.jpg,"64, Yangji-ro, Wonju-si, Gangwon-do",127.9849616659,37.3268698547,place separate rooms family gatherings group dining japanese cuisine restaurant wonjusi gangwondo famous menu sliced raw fish,"['food', 'dining', 'gatherings', 'separate', 'group', 'japanese']",food
25,2676734,82,Badareul Damda (바다를담다),"It is a place where you can eat fresh seafood with the view of Hourglass Park. This seafood restaurant is located in Gangneung-si, Gangwon-do. The most famous menu is steamed snow crab.",http://tong.visitkorea.or.kr/cms/resource/83/2671083_image2_1.jpg,"1025, Heonhwa-ro, Gangneung-si, Gangwon-do",129.0359784359,37.6864678321,place eat fresh seafood view hourglass park seafood restaurant gangneungsi gangwondo famous menu steamed snow crab,"['food', 'seafood', 'hourglass', 'steamed', 'crab', 'snow']",food
26,2694820,82,Badayangpuni Dongtaetang Wonjhyeoksin(바다양푼이동태탕 원주혁신),"A good place to visit when you want to eat hot soup. This Korean dishes restaurant is located in Wonju-si, Gangwon-do. The most famous menu is pollack soup.",http://tong.visitkorea.or.kr/cms/resource/47/2701347_image2_1.jpg,12 Yangjitteul 4-gil Wonju-si Gangwon-do,127.9836062134,37.327525309,place want eat soup korean dishes restaurant wonjusi gangwondo famous menu pollack soup,"['food', 'soup', 'want', 'pollack', 'eat', 'wonjusi']",food
27,264232,76,Baekdamgyegok Valley (백담계곡),"Baekdamgyegok Valley stretches over an eight kilometer section from Baekdamsa Temple to Yongdae-ri in Inje-gun. The valley has a road, but it is closed to general traffic. The valley is located within Seoraksan National Park. The stream running through the valley is wide and deep. The name of the valley comes from the claim that there are one hundred ('baek' in Korea) pools ('dam')  of water along the valley. Baekdamgyegok Valley features clean water and lush forests.",http://tong.visitkorea.or.kr/cms/resource/07/769207_image2_1.jpg,"150, Baekdam-ro, Inje-gun, Gangwon-do",128.3573602695,38.1919404619,baekdamgyegok valley stretches eight kilometer section baekdamsa temple yongdaeri injegun valley road closed general traffic valley within seoraksan national park stream running valley wide deep valley comes claim hundred baek pools dam water valley baekdamgyegok valley features clean water lush forests,"['nature', 'valley', 'baekdamgyegok', 'baek', 'hundred', 'claim']",nature
28,264231,76,Baekdamsa Temple (백담사),"Located within Seoraksan Mountain, Baekdamsa Temple was built by Monk Ja Jang (590~658) during the reign of Queen Jindeok (647-654), 28th ruler of the Silla Kingdom. The temple was burnt down and moved several times until 1957 when it was rebuilt to the current location. There are various treasures and hermitages in the temple. Many famous people have visited the temple including Manhae Han Yong-un, a strong independence activist and poet. There are countless number of rock towers in front of the temple by the creek where visitors come to stack stones while praying for their wishes.",http://tong.visitkorea.or.kr/cms/resource/44/2675244_image2_1.jpg,"746, Baekdam-ro, Inje-gun, Gangwon-do",128.374540097,38.1649689335,within seoraksan mountain baekdamsa temple monk ja jang reign queen jindeok th ruler silla kingdom temple burnt moved several times rebuilt current location treasures hermitages temple famous people visited temple manhae han yongun strong independence activist poet countless number rock towers temple creek visitors come stack stones praying wishes,"['nature', 'temple', 'countless', 'stack', 'ruler', 'hermitages']",nature
29,2693555,82,Baekje Samgyetang (백제삼계탕),"This is a place where you can enjoy clear Samgyetang (Korean ginseng chicken soup) made with an authentic manufacturing method used for 48 years now. The best menu at this restaurant is ginseng chicken soup. This Korean dishes restaurant is located in Gangneung-si, Gangwon-do.",http://tong.visitkorea.or.kr/cms/resource/55/2684755_image2_1.jpg,"11, Toseong-ro, 164beon-gil, Gangneung-si, Gangwon-do",128.8950334293,37.7553960005,place clear samgyetang korean ginseng chicken soup made authentic manufacturing method used years best menu restaurant ginseng chicken soup korean dishes restaurant gangneungsi gangwondo,"['food', 'ginseng', 'chicken', 'soup', 'manufacturing', 'authentic']",food
30,264229,76,Baekundonggyegok Valley (백운동계곡),"Baekundonggyegok Valley flows 5 km from the valley of Deoktaesan Mountain and Seongaksan Mountain. There are oak trees and maple trees growing in thick clusters and clean waters flowing nearby.

Baekundonggyegok Valley stands between the seven brother stones and Yongdampokpo Falls, and starting from this point to Gwuiddegicheong Peak is Baekundonggyegok Valley. The rocks are connected in a long line and ponds can be seen here and there. On each side of the valley there are rock walls, which make for some unforgettable scenery. Baekundonggyegok Valley maintains its natural beauty and majesty, which attracts many hikers. Especially from the middle point where Jikbaekun and Gokbaekun combine to make the Gugokgyegok Valley the most magnificent scenery of Baekundonggyegok Valley can be seen. The largest waterfall of Baekundonggyegok Valley, called Baekunpokpo Falls, is about 30 meters high. The upper part of the waterfall has rocks lined up in a long line. The landscape of Seoraksan Mountain seen from this point is the representative landscape of the mountain.",,"Baekdam-ro, Buk-myeon, Inje-gun, Gangwon-do",128.3823153941,38.1324534243,baekundonggyegok valley flows km valley deoktaesan mountain seongaksan mountain oak trees maple trees growing thick clusters clean waters flowing nearby baekundonggyegok valley stands seven brother stones yongdampokpo falls starting point gwuiddegicheong peak baekundonggyegok valley rocks connected long line ponds seen side valley rock walls make unforgettable scenery baekundonggyegok valley maintains natural beauty majesty attracts hikers especially middle point jikbaekun gokbaekun combine make gugokgyegok valley magnificent scenery baekundonggyegok valley seen largest waterfall baekundonggyegok valley called baekunpokpo falls high upper part waterfall rocks lined long line landscape seoraksan mountain seen point representative landscape mountain,"['nature', 'baekundonggyegok', 'valley', 'seen', 'point', 'waterfall']",nature
